position,player,country,points,profile_url
134,Jose Rico,ESP,428,https://www.padelfip.com/es/player/jose-rico/
135,Pau Miñano Ortinez,ESP,426,https://www.padelfip.com/es/player/pau-minano-ortinez/
136,Juan Zamora Perez,ESP,423,https://www.padelfip.com/es/player/juan-zamora-perez/
137,Simone Cremona,ITA,419,https://www.padelfip.com/es/player/simone-cremona/
138,Alejandro Merino Nieto,ESP,415,https://www.padelfip.com/es/player/alejandro-merino-nieto/
139,José Enrique Giménez Barcelona,ESP,414,https://www.padelfip.com/es/player/jose-enrique-gimenez-barcelona/
140,Luciano Puppo,ARG,408,https://www.padelfip.com/es/player/luciano-puppo/
140,Julian Lacamoire,ARG,408,https://www.padelfip.com/es/player/julian-lacamoire/
142,Guillermo Fernandez Sanchez,ESP,406,https://www.padelfip.com/es/player/guillermo-fernandez-sanchez/
143,Felipe Calleja,ARG,403,https://www.padelfip.com/es/player/felipe-calleja/
144,Daniel Luna Peinado,ESP,402,https://www.padelfip.com/es/player/daniel-luna-peinado/
145,Youp De Kroon,NED,400,https://www.padelfip.com/es/player/youp-de-kroon/
145,Julian Prins,NED,400,https://www.padelfip.com/es/player/julian-prins/
147,Sten Richters,NED,399,https://www.padelfip.com/es/player/sten-richters/
148,Giulio Graziotti,ITA,397,https://www.padelfip.com/es/player/giulio-graziotti/
149,Miguel Morales Domenech,ESP,393,https://www.padelfip.com/es/player/miguel-morales-domenech/
150,Marcos Cordoba,ESP,381,https://www.padelfip.com/es/player/marcos-cordoba/
151,Timeo Fonteny,FRA,380,https://www.padelfip.com/es/player/timeo-fonteny/
152,Adrian Ronco Lopez,ESP,375,https://www.padelfip.com/es/player/adrian-ronco-lopez/
153,Jaime Perez Martin,ESP,372,https://www.padelfip.com/es/player/jaime-perez-martin/
154,Pedro Graca,POR,371,https://www.padelfip.com/es/player/pedro-graca/
155,Gustavo Nunes,POR,370,https://www.padelfip.com/es/player/gustavo-nunes/
156,Federico Chiostri,ARG,365,https://www.padelfip.com/es/player/federico-chiostri/
157,Javier Rico,ESP,362,https://www.padelfip.com/es/player/javier-rico/
158,Alberto Garcia Jimenez,ESP,360,https://www.padelfip.com/es/player/alberto-garcia-jimenez/
159,Hector Vazquez Lopez,ESP,359,https://www.padelfip.com/es/player/hector-vazquez-lopez/
160,Pepe Aliaga,ESP,358,https://www.padelfip.com/es/player/pepe-aliaga/
161,Pablo Reina Ambel,ESP,356,https://www.padelfip.com/es/player/pablo-reina-ambel/
161,Simone Iacovino,ITA,356,https://www.padelfip.com/es/player/simone-iacovino/
163,Albin Olsson,SWE,354,https://www.padelfip.com/es/player/albin-olsson/
164,Pedro Perry,POR,348,https://www.padelfip.com/es/player/pedro-perry/
165,Diego Dorta Diaz,ESP,347,https://www.padelfip.com/es/player/diego-dorta-diaz/
166,Miguel Gonzalez,ESP,346,https://www.padelfip.com/es/player/miguel-gonzalez/
167,Johan Bergeron,FRA,345,https://www.padelfip.com/es/player/johan-bergeron/
168,Antonio Luque,POR,344,https://www.padelfip.com/es/player/antonio-luque/
169,Sergio Tierno Herrero,ESP,340,https://www.padelfip.com/es/player/sergio-tierno-herrero/
170,Christian Fuster,ESP,339,https://www.padelfip.com/es/player/christian-fuster/
171,Diego Arredondo Garcia,MEX,337,https://www.padelfip.com/es/player/diego-arredondo-garcia/
172,Julien Seurin,FRA,336,https://www.padelfip.com/es/player/julien-seurin/
173,Thijs Roper,NED,330,https://www.padelfip.com/es/player/thijs-roper/
174,Victor Tur Checa,ESP,325,https://www.padelfip.com/es/player/victor-tur-checa/
175,Diego Gil,ESP,316,https://www.padelfip.com/es/player/diego-gil/
176,Alejandro Calvo Perez,ESP,314,https://www.padelfip.com/es/player/alejandro-calvo-perez/
177,Sergio Arias Aznar,ESP,313,https://www.padelfip.com/es/player/sergio-arias-aznar/
178,Agustin Reca,GER,312,https://www.padelfip.com/es/player/agustin-reca/
179,Marcel Font,ESP,310,https://www.padelfip.com/es/player/marcel-font/
180,Miguel Angel Solbes,ESP,307,https://www.padelfip.com/es/player/miguel-angel-solbes/
181,Thomas Leygue,FRA,293,https://www.padelfip.com/es/player/thomas-leygue/
181,Yoan Boronad,FRA,293,https://www.padelfip.com/es/player/yoan-boronad/
183,Bastien Blanque,FRA,292,https://www.padelfip.com/es/player/bastien-blanque/
184,Francisco Maier,ARG,287,https://www.padelfip.com/es/player/francisco-maier/
185,Christian Medina Murphy,GBR,284,https://www.padelfip.com/es/player/christian-medina-murphy/
186,Borja Trujillo Chang,ESP,282,https://www.padelfip.com/es/player/borja-trujillo-chang/
187,Iago Fuertes Leonardo,ESP,279,https://www.padelfip.com/es/player/iago-fuertes-leonardo/
188,Albert Trillas Garcia,ESP,278,https://www.padelfip.com/es/player/albert-trillas-garcia/
188,Douglas Rutgersson,SWE,278,https://www.padelfip.com/es/player/douglas-rutgersson/
190,Lorenzo Di Giovanni,ITA,275,https://www.padelfip.com/es/player/lorenzo-di-giovanni/
191,Pablo Pastor Landaburu,ESP,273,https://www.padelfip.com/es/player/pablo-pastor-landaburu/
191,Samuel Rivas Garcia,ESP,273,https://www.padelfip.com/es/player/samuel-rivas-garcia/
193,Alvaro Lopez Luque,ESP,270,https://www.padelfip.com/es/player/alvaro-lopez-luque/
194,Joao Maria Caiano,POR,269,https://www.padelfip.com/es/player/joao-maria-caiano/
194,Joel Olivera Palos,ESP,269,https://www.padelfip.com/es/player/joel-olivera-palos/
196,Mateo Rivero,ARG,267,https://www.padelfip.com/es/player/mateo-rivero/
197,Leonardo Yob,ARG,265,https://www.padelfip.com/es/player/leonardo-yob/
198,Willy Släryd,SWE,261,https://www.padelfip.com/es/player/willy-slaryd/
199,Dylan Demian Cuello,ARG,260,https://www.padelfip.com/es/player/dylan-demian-cuello/
200,Miguel Benitez Lara,ESP,255,https://www.padelfip.com/es/player/miguel-benitez-lara/
200,Sergio Icardo,UAE,255,https://www.padelfip.com/es/player/sergio-icardo/
202,Simon Vasquez,SWE,249,https://www.padelfip.com/es/player/simon-vasquez/
203,Ramiro Moyano,ARG,245,https://www.padelfip.com/es/player/ramiro-moyano/
204,Jordi Casanova Bataller,ESP,241,https://www.padelfip.com/es/player/jordi-casanova-bataller/
205,Giuseppe Fino,ITA,240,https://www.padelfip.com/es/player/giuseppe-fino/
206,Santino Giuliani Lombardo,ITA,239,https://www.padelfip.com/es/player/santino-giuliani-lombardo/
207,Diogo Jesus,POR,237,https://www.padelfip.com/es/player/diogo-jesus/
208,Francisco Jurado Sosa,UAE,230,https://www.padelfip.com/es/player/francisco-jurado-sosa/
209,Aaron Garcia Rubio,ESP,229,https://www.padelfip.com/es/player/aaron-garcia-rubio/
210,Cristian German Gutierrez,ARG,228,https://www.padelfip.com/es/player/cristian-german-gutierrez/
211,Daniel Appelgren,SWE,225,https://www.padelfip.com/es/player/daniel-appelgren/
211,Joaquin De Astoreca,ARG,225,https://www.padelfip.com/es/player/joaquin-de-astoreca/
213,Adrian Rodriguez rodriguez-Manzaneque,ESP,224,https://www.padelfip.com/es/player/adrian-rodriguez-rodriguez-manzaneque/
214,Menno Nolten,NED,222,https://www.padelfip.com/es/player/menno-nolten/
215,Jairo Guerrero Escarcena,ESP,221,https://www.padelfip.com/es/player/jairo-guerrero-escarcena/
216,Sergio Nieto Simon,ESP,220,https://www.padelfip.com/es/player/sergio-nieto-simon/
217,Manuel Gayone,ARG,219,https://www.padelfip.com/es/player/manuel-gayone/
218,Afonso Fazendeiro,POR,214,https://www.padelfip.com/es/player/afonso-fazendeiro/
219,Maxime Joris,FRA,212,https://www.padelfip.com/es/player/maxime-joris/
220,Manuel Vives,FRA,210,https://www.padelfip.com/es/player/manuel-vives/
221,Daniel Windahl,SWE,207,https://www.padelfip.com/es/player/daniel-windahl/
221,Juan Manuel Lasgoity,ITA,207,https://www.padelfip.com/es/player/juan-manuel-lasgoity/
223,Antonio Varo Ramos,ESP,206,https://www.padelfip.com/es/player/antonio-varo-ramos/
224,Octavio Alvarez,ARG,201,https://www.padelfip.com/es/player/octavio-alvarez/
224,Santino Contreras,ARG,201,https://www.padelfip.com/es/player/santino-contreras/
226,Jeremy Robert,FRA,195,https://www.padelfip.com/es/player/jeremy-robert/
227,Matteo Rosingana,ITA,194,https://www.padelfip.com/es/player/matteo-rosingana/
228,Henrique Barbosa,POR,193,https://www.padelfip.com/es/player/henrique-barbosa/
229,Alejandro Garcia Calahorro,ESP,189,https://www.padelfip.com/es/player/alejandro-garcia-calahorro/
229,Bohou Zhang,CHN,189,https://www.padelfip.com/es/player/bohou-zhang/
231,Jose Roman Martinez Sanchis,ESP,187,https://www.padelfip.com/es/player/jose-roman-martinez-sanchis/
231,Noa Bonnefoy,ITA,187,https://www.padelfip.com/es/player/noa-bonnefoy/
233,Wagdy Raslan,EGY,186,https://www.padelfip.com/es/player/wagdy-raslan/
234,Sergi Guimet Bigas,ESP,185,https://www.padelfip.com/es/player/sergi-guimet-bigas/
235,Oscar Matias Almada,ARG,184,https://www.padelfip.com/es/player/oscar-matias-almada/
236,Pablo Castillo Valverde,ESP,182,https://www.padelfip.com/es/player/pablo-castillo-valverde/
236,Matteo Sargolini,ITA,182,https://www.padelfip.com/es/player/matteo-sargolini/
238,Arthur Hugounenq,FRA,181,https://www.padelfip.com/es/player/arthur-hugounenq/
239,Thomas Vanbauce,FRA,180,https://www.padelfip.com/es/player/thomas-vanbauce/
239,Santiago Rolla,ARG,180,https://www.padelfip.com/es/player/santiago-rolla/
241,Oscar Sebber Gormsen,DEN,177,https://www.padelfip.com/es/player/oscar-sebber-gormsen/
242,Vasco Pascoal,POR,176,https://www.padelfip.com/es/player/vasco-pascoal/
242,Nicolas Rouanet,FRA,176,https://www.padelfip.com/es/player/nicolas-rouanet/
244,Juan Cruz Forastello,ARG,175,https://www.padelfip.com/es/player/juan-cruz-forastello/
245,Bentahor Espino Mustafa,ESP,173,https://www.padelfip.com/es/player/bentahor-espino-mustafa/
245,Benjamin Tison,FRA,173,https://www.padelfip.com/es/player/benjamin-tison/
247,Georges Wakim,EGY,172,https://www.padelfip.com/es/player/georges-wakim/
247,Jorrit Hazebroek,NED,172,https://www.padelfip.com/es/player/jorrit-hazebroek/
247,Vinny Nahuel Di Francesco,USA,172,https://www.padelfip.com/es/player/vinny-nahuel-di-francesco/
247,Bart Van Opstal,NED,172,https://www.padelfip.com/es/player/bart-van-opstal/
251,Federico Galli,ITA,169,https://www.padelfip.com/es/player/federico-galli/
252,Kevin Uriel Kviatkovski,ARG,167,https://www.padelfip.com/es/player/kevin-uriel-kviatkovski/
253,Zé Alexandre Meireles,POR,165,https://www.padelfip.com/es/player/ze-alexandre-meireles/
253,Adrian Molina Lopez,ESP,165,https://www.padelfip.com/es/player/adrian-molina-lopez/
253,Alejandro Guinaldo Martin,ESP,165,https://www.padelfip.com/es/player/alejandro-guinaldo-martin/
256,Facundo Dehnike,PAR,163,https://www.padelfip.com/es/player/facundo-dehnike/
256,Karlos Rodriguez Vidal,ESP,163,https://www.padelfip.com/es/player/karlos-rodriguez-vidal/
258,Carlos Perez Cabeza,ESP,161,https://www.padelfip.com/es/player/carlos-perez-cabeza/
259,Philemon Raichman,FRA,159,https://www.padelfip.com/es/player/philemon-raichman/
260,Mateo Conte Gonzalez,ARG,156,https://www.padelfip.com/es/player/mateo-conte-gonzalez/
261,Noe Sanchez Del Viejo,ESP,155,https://www.padelfip.com/es/player/noe-sanchez-del-viejo/
261,Jose Manuel Ortiz Llerena,ESP,155,https://www.padelfip.com/es/player/jose-manuel-ortiz-llerena/
263,Candido Jorge Alfaro,ESP,154,https://www.padelfip.com/es/player/candido-jorge-alfaro/
263,Michele Brambilla,ITA,154,https://www.padelfip.com/es/player/michele-brambilla/
265,Isaac Huysveld,BEL,153,https://www.padelfip.com/es/player/isaac-huysveld/
266,Victor Ortega Garcia,ESP,151,https://www.padelfip.com/es/player/victor-ortega-garcia/
266,Thomas Panken,NED,151,https://www.padelfip.com/es/player/thomas-panken/
266,Max Bjorkman,SWE,151,https://www.padelfip.com/es/player/max-bjorkman/
269,Toni Bueno,ESP,149,https://www.padelfip.com/es/player/toni-bueno/
270,Eneko Arija Ochoa De Alda,ESP,147,https://www.padelfip.com/es/player/eneko-arija-ochoa-de-alda/
270,Ignacio Alonso Chillaron,ESP,147,https://www.padelfip.com/es/player/ignacio-alonso-chillaron/
270,Olivier Guy De Chamisso,FRA,147,https://www.padelfip.com/es/player/olivier-guy-de-chamisso/
273,Nicolas Crosio,ARG,146,https://www.padelfip.com/es/player/nicolas-crosio/
273,Juan Manuel Argañaras,ARG,146,https://www.padelfip.com/es/player/juan-manuel-arganaras/
275,Kai Groen,NED,145,https://www.padelfip.com/es/player/kai-groen/
275,Andrea Mangiante,ITA,145,https://www.padelfip.com/es/player/andrea-mangiante/
277,Riccardo Sinicropi,ITA,143,https://www.padelfip.com/es/player/riccardo-sinicropi/
278,Gerard Arnaldos Serrano,ESP,140,https://www.padelfip.com/es/player/gerard-arnaldos-serrano/
279,Abraham Muñoz Zurita,ESP,139,https://www.padelfip.com/es/player/abraham-munoz-zurita/
280,Axel William Guevara,ARG,138,https://www.padelfip.com/es/player/axel-william-guevara/
281,Yanis Muesser,FRA,137,https://www.padelfip.com/es/player/yanis-muesser/
281,Louie Harris,GBR,137,https://www.padelfip.com/es/player/louie-harris/
281,Pier Giulio Farabbi,ITA,137,https://www.padelfip.com/es/player/pier-giulio-farabbi/
284,Matteo Platania,ITA,136,https://www.padelfip.com/es/player/matteo-platania/
285,Alberto Gasca Romero,ESP,135,https://www.padelfip.com/es/player/alberto-gasca-romero/
286,Alejandro Urzola Abad,ESP,134,https://www.padelfip.com/es/player/alejandro-urzola-abad/
287,Jose Pablo Padilla,MEX,133,https://www.padelfip.com/es/player/jose-pablo-padilla/
287,Noe Navarro Porras,ESP,133,https://www.padelfip.com/es/player/noe-navarro-porras/
287,Jose Pedro Montalban Martin,ESP,133,https://www.padelfip.com/es/player/jose-pedro-montalban-martin/
